"","x1","x2","x3","x4","x5","x6","x7","x8","y1"
"8555",4,14,12,3,24,2,9,14,16.19
"8556",16,24,58,15,53,27,19,28,1.98
"8557",51,28,88,22,98,48,12,49,9.1
"8558",46,23,91,21,118,46,23,50,14.45
"8559",69,20,81,18,151,16,20,56,14.31
"8560",52,35,62,20,147,22,28,61,13.32
"8561",52,29,62,27,151,38,26,51,14.57
"8562",45,29,90,23,124,41,25,45,18.74
"8563",40,33,100,21,120,40,23,40,15.33
"8564",46,43,77,22,129,40,29,47,15.2
"8565",41,31,82,33,127,32,29,42,15.76
"8566",49,37,70,31,143,25,19,52,15.63
"8567",48,26,98,26,126,40,15,41,16.09
"8568",45,38,73,12,131,46,21,49,15.12
"8569",53,29,67,20,136,42,21,50,15.5
"8570",53,30,81,18,140,37,20,59,15.68
"8571",53,41,91,9,137,31,20,51,16.38
"8572",58,43,92,9,121,42,19,58,14.87
"8573",54,31,95,13,115,41,30,46,15.46
"8574",61,38,79,20,112,38,25,63,15.42
"8575",41,29,94,17,98,53,26,48,15.59
"8576",50,20,85,17,94,43,31,49,18.32
"8577",49,38,101,23,122,36,23,46,14.74
"8578",46,31,98,26,95,43,25,48,15.42
"8579",61,28,74,18,113,47,16,63,15.86
"8580",49,18,71,20,145,45,22,48,19.35
"8581",57,33,71,12,129,46,33,60,15.59
"8582",52,49,73,18,144,39,18,46,16.25
"8583",49,29,84,19,121,36,19,52,15.32
"8584",59,25,71,27,130,34,25,56,14.04
"8585",16,6,28,10,56,12,3,20,16.22
"8586",9,11,11,5,18,12,7,15,4.29
"8587",25,24,31,7,27,13,14,27,4.13
"8588",38,33,33,9,36,10,9,45,6.41
"8589",51,25,33,8,35,5,8,45,7.89
"8590",46,16,34,7,38,7,12,46,7.8
"8591",33,28,28,9,39,13,15,42,9.79
"8592",44,23,26,13,49,8,16,37,8.14
"8593",41,24,25,18,45,19,17,37,8.09
"8594",37,24,37,15,31,15,19,42,9.1
"8595",38,14,43,11,36,12,14,36,9.28
"8596",35,10,45,16,47,10,17,33,8.16
"8597",36,22,31,10,45,10,15,41,8.07
"8598",38,25,32,20,31,10,17,36,9.64
"8599",43,22,22,14,41,8,14,42,7.22
"8600",41,23,21,8,47,10,9,41,8.28
"8601",35,21,27,10,29,24,7,35,8.01
"8602",33,18,33,15,52,21,14,30,9.22
"8603",31,10,41,10,48,6,14,35,8.18
"8604",50,17,35,6,44,4,17,47,6.88
"8605",35,26,44,4,40,8,15,37,8.02
"8606",33,29,41,3,60,8,11,27,7.25
"8607",30,28,41,6,49,5,17,40,7.43
"8608",43,21,31,14,37,2,21,41,7.61
"8609",40,23,21,18,43,8,23,38,7.39
"8610",27,25,34,13,41,17,27,24,10.94
"8611",36,24,28,17,40,13,26,39,8.18
"8612",40,32,24,12,45,9,12,43,8.45
"8613",48,20,19,13,41,9,16,47,8.16
"8614",40,9,35,16,38,8,13,42,8.34
"8615",23,7,24,7,20,12,9,24,7.58
"8616",6,18,11,6,15,16,10,11,4.49
"8617",18,22,36,16,56,33,15,19,4.72
"8618",27,22,58,14,67,23,11,30,9.08
"8619",32,23,57,14,80,15,10,28,8.59
"8620",23,24,65,8,87,17,13,20,8.54
"8621",23,21,64,12,80,12,9,25,8.66
"8622",17,20,66,17,93,8,17,17,7.79
"8623",24,22,51,14,97,14,15,24,7.62
"8624",20,22,57,20,81,12,11,20,8.55
"8625",25,20,65,8,68,12,20,28,7.47
"8626",25,23,78,19,71,18,17,23,8.38
"8627",18,27,62,14,72,24,14,20,8.97
"8628",27,25,45,16,93,22,11,27,9.33
"8629",19,27,56,16,83,17,17,14,12.31
"8630",16,33,64,22,82,13,21,17,8.07
"8631",16,24,62,11,87,26,16,16,8.5
"8632",18,22,64,12,81,27,11,25,8.9
"8633",25,19,59,7,79,27,19,25,9.62
"8634",27,46,52,21,75,13,11,22,9.19
"8635",17,30,52,16,84,20,14,19,10.75
"8636",20,27,50,25,76,25,5,19,8.63
"8637",22,23,61,26,81,13,11,25,8.86
"8638",18,17,78,16,84,22,16,16,9.1
"8639",28,22,62,10,79,14,13,26,8.61
"8640",19,28,58,14,84,14,16,22,8.28
"8641",26,31,61,12,72,18,16,26,10.17
"8642",27,14,55,16,70,17,22,28,9.17
"8643",23,21,60,22,81,7,9,23,8.73
"8644",26,26,70,15,87,4,19,24,7.74
"8645",21,19,47,11,63,9,10,18,7.94
"8646",6,4,11,2,14,4,6,13,6.27
"8647",21,14,27,5,43,6,17,22,2.76
