x1,x2,x3,x4,x5,x6,x7,x8,y1
2,0,0,0,2,1,0,4,95.3
4,0,0,0,0,0,0,2,95.2
0,0,1,0,2,0,0,3,95.65
3,0,0,0,0,0,0,2,95.99
2,0,2,1,1,0,1,4,95.79
0,0,1,0,1,0,0,0,96.1
1,0,2,0,3,0,0,1,95.7
2,0,1,0,1,0,0,4,95.75
2,0,2,0,2,0,0,1,95.65
2,0,1,0,1,0,1,4,95.4
3,0,1,0,1,0,0,1,96
2,0,1,1,2,0,0,3,95.95
0,0,0,0,1,0,0,1,96.25
2,0,1,0,0,0,0,2,95.25
1,0,1,0,1,0,0,0,95.59
0,1,1,0,2,1,0,1,96.2
0,1,1,0,0,0,0,1,95.35
1,0,0,0,0,0,0,1,95.25
0,0,0,0,2,0,0,0,95.2
0,1,0,1,0,0,0,1,95.55
0,1,0,1,1,0,0,0,95.75
1,1,0,1,0,0,1,0,94.95
0,1,0,1,1,1,0,1,96.2
0,0,0,1,0,0,0,0,95.5
0,1,1,2,0,0,0,0,95.9
0,0,0,0,1,0,0,0,96.2
0,0,0,3,0,1,1,0,95.89
1,1,0,1,0,0,0,1,96.7
0,1,1,1,1,0,0,0,99.4
0,0,0,0,0,1,0,0,99.1
0,1,0,1,0,2,0,1,99.2
0,0,0,0,1,0,0,0,98.7
2,0,2,1,2,0,0,0,99.2
1,0,2,0,2,2,1,3,97.6
0,1,1,0,0,0,0,1,99.05
0,1,1,0,0,0,0,0,99.2
0,1,1,1,0,0,0,0,99.15
2,0,0,0,0,2,0,0,96.69
0,0,0,0,0,0,0,0,98.5
0,0,0,0,0,0,0,0,99.35
0,0,0,0,0,0,0,0,99.25
0,0,0,0,0,0,0,0,99.2
0,0,0,0,0,0,0,0,98.95
0,0,0,0,0,0,0,0,98.95
0,0,0,0,0,0,0,0,97.2
0,0,0,0,0,0,0,0,96.85
0,0,0,0,0,0,0,0,96.75
0,0,0,0,0,0,0,0,93.81
0,0,0,0,0,0,0,0,91.44
0,0,0,0,0,0,0,0,85.16
0,1,0,0,0,0,0,0,80.89
0,0,1,1,2,0,0,0,48.53
0,2,1,1,0,0,0,1,55.18
0,2,1,0,1,1,1,2,50.03
0,3,1,0,1,0,0,4,45.02
3,1,1,0,2,0,0,4,29.89
2,2,3,0,2,2,1,3,56.17
6,6,4,0,0,0,0,7,51.75
3,2,1,2,1,0,2,4,65.49
1,6,2,2,3,0,0,2,62.14
3,2,1,1,3,0,2,4,69.51
2,3,2,1,1,0,1,4,66.34
2,1,2,3,2,0,1,2,79.48
4,3,1,0,3,0,1,3,75.96
1,3,2,1,1,0,2,2,61.76
3,1,1,1,2,0,0,3,62.78
1,7,2,4,3,0,2,2,46.4
1,2,2,1,2,0,2,1,63.72
1,3,1,1,0,0,0,2,67.11
0,1,4,2,2,2,1,2,70.49
3,0,4,1,0,1,2,4,77.84
6,0,6,2,0,2,2,4,82.35
3,1,3,2,1,0,5,3,73.61
3,2,3,1,2,1,1,3,73.33
4,3,3,1,0,1,2,5,64.48
2,1,3,1,2,0,3,4,71.21
3,4,4,2,2,1,1,2,56.14
2,2,1,0,0,2,2,3,51.52
2,1,2,2,1,0,2,2,58.06
2,0,3,1,1,1,2,3,54.8
3,0,3,0,1,0,5,2,44.89
1,3,2,2,4,0,2,3,37.33
1,2,1,0,0,1,4,2,44.58
1,1,1,1,2,1,1,3,46.07
1,2,1,1,1,0,2,0,46.13
1,1,0,1,3,0,3,3,57.4
4,1,0,1,2,0,0,3,63.66
2,1,2,3,3,0,1,5,66.4
3,3,0,1,2,1,1,2,78.12
1,2,1,0,5,1,0,2,73.11
3,4,3,1,1,0,1,3,72.18
5,3,3,1,3,0,3,6,72.73
3,4,1,0,0,0,3,4,73.86
5,6,3,1,0,0,0,5,68.58
3,4,2,0,1,0,3,4,74.2
3,2,2,0,1,1,2,6,76.96
6,3,1,1,1,1,3,4,77.12
7,2,3,0,1,0,3,8,76.24
6,3,2,0,0,1,1,7,77.11
6,4,1,0,0,0,0,6,64.74
3,3,2,1,1,2,3,3,79.35
2,5,0,0,0,1,1,2,70.28
4,3,1,0,1,1,2,5,50.5
4,0,1,0,0,2,2,5,58.75
1,2,2,0,2,0,1,5,46.8
5,1,2,1,1,1,1,2,61.86
1,0,1,0,7,2,1,2,64.94
2,0,2,0,3,2,3,4,69.75
1,1,4,1,3,0,1,3,70.53
4,0,7,1,2,1,3,3,59.33
3,0,0,0,0,1,2,3,51.87
4,0,0,1,2,0,1,4,52.46
3,1,0,0,1,0,1,3,54.22
0,2,0,0,2,1,1,2,58.95
1,0,0,0,0,0,0,1,70.31
0,0,0,0,1,0,1,0,31.33
0,1,1,0,1,0,1,0,27.74
0,0,1,0,0,0,0,1,39.78
0,0,0,0,0,0,1,0,54.9
0,0,1,1,1,0,0,0,61.96
0,2,0,1,0,0,1,1,64.65
1,0,1,0,0,0,1,1,66.6
0,0,1,2,0,0,1,1,66.14
2,1,0,2,0,0,0,1,76.03
0,1,0,1,0,0,2,2,87.15
1,1,1,0,1,0,1,1,74.94
2,0,1,1,1,0,0,1,59.13
0,0,1,2,1,0,1,4,62.61
2,0,0,0,0,0,1,2,81.37
1,0,2,0,1,0,0,1,71.01
2,1,1,0,1,0,1,2,87.91
1,0,1,0,1,0,0,1,84.91
1,0,1,0,2,0,0,3,86.26
2,0,1,0,2,0,0,1,89.31
3,1,1,1,3,1,0,3,92.55
1,1,0,2,0,1,0,2,97.8
2,0,0,1,2,0,0,1,90.03
2,1,1,0,6,0,1,3,84.6
0,0,1,1,1,0,1,1,88.66
0,0,1,0,2,1,0,0,86.55
0,0,3,0,2,3,0,1,89.02
1,1,0,0,0,1,2,3,88.19
3,0,0,1,0,0,1,3,86.55
1,1,0,1,0,0,0,2,80.21
3,0,0,0,0,0,0,1,88.13
1,0,1,1,0,0,1,1,78.68
0,0,1,1,0,0,0,1,73.08
1,0,1,2,1,0,2,0,76.32
0,2,0,1,0,0,0,0,61.69
0,2,1,2,1,0,1,0,58.02
0,3,2,2,0,0,1,1,62.96
0,2,1,2,0,0,1,0,68.7
0,1,1,0,0,1,1,0,69.81
1,3,0,1,0,1,0,2,63.61
2,1,1,1,0,0,0,3,71.39
1,1,1,0,1,0,0,3,74.29
1,0,1,1,0,0,1,0,78.02
0,0,1,1,0,0,1,1,75.3
0,0,2,1,0,0,0,0,85.55
0,0,0,0,0,1,1,0,95.19
0,1,0,1,1,0,3,0,81.9
0,1,3,0,0,0,2,0,80.03
0,0,0,0,0,0,0,1,82.67
2,1,3,0,2,0,0,2,61.65
1,2,5,0,2,1,0,1,58.76
0,0,3,0,0,0,0,1,77.23
1,2,1,0,2,0,0,3,57.82
2,0,1,0,2,0,0,1,70.34
2,2,2,0,0,0,0,2,82.75
1,2,1,0,2,0,1,2,65.11
3,2,1,0,2,0,0,4,69.92
1,1,0,0,0,1,1,1,57.52
1,1,1,0,0,1,2,0,58.12
0,0,2,1,1,3,0,4,68.62
1,1,3,2,3,2,0,2,69.64
1,1,0,2,1,3,0,2,48.23
2,0,0,3,1,3,1,0,59.49
1,1,0,1,1,3,0,3,40.4
3,1,0,3,1,3,0,2,44.65
1,1,0,2,2,2,0,1,40.69
0,0,1,0,1,3,1,0,48.78
0,0,4,3,1,2,0,3,62.37
3,0,2,1,2,0,1,2,45.06
2,2,2,2,7,0,0,5,29.78
2,0,3,0,3,2,1,6,22.33
5,3,4,2,2,0,0,0,35.29
0,3,4,2,3,1,1,4,30.45
4,3,5,2,3,2,0,1,39.59
2,2,1,1,2,1,0,4,41.91
4,4,1,1,3,1,0,3,30.99
2,2,4,3,3,2,0,5,37.45
4,2,1,2,3,0,1,4,42.3
3,3,2,6,4,0,1,1,43.07
2,3,1,4,3,0,1,5,70.05
4,2,2,5,4,0,2,1,76.22
2,1,3,2,4,0,1,7,66.04
4,1,1,4,5,0,3,3,78.76
1,2,4,2,2,0,0,5,76.07
5,2,2,4,5,0,0,3,74.6
1,1,2,4,1,0,1,2,90.58
3,3,2,3,3,0,0,3,87.43
2,2,1,0,4,0,3,4,89.47
2,4,1,0,2,1,0,3,92.88
4,3,1,1,3,1,0,6,92.76
3,1,1,1,1,1,1,2,68.35
5,4,0,2,6,1,1,6,82.15
3,1,2,1,3,3,0,5,77.42
3,4,0,3,3,2,0,2,88.96
2,0,0,1,3,2,3,5,70.39
5,4,3,0,2,0,2,3,70.92
2,2,3,0,6,1,0,5,59.27
3,0,1,0,5,1,0,4,29.91
3,0,1,0,5,1,0,8,33.45
4,0,2,0,2,1,0,2,39.72
0,1,2,0,1,0,1,4,46.43
4,0,1,1,3,2,0,1,41.65
1,0,1,1,2,1,1,2,47.29
1,1,0,2,2,0,2,2,65.1
3,0,2,2,3,1,2,4,79.93
5,2,1,3,5,1,1,2,73.63
3,5,0,0,4,0,0,7,78.97
4,0,2,3,3,3,2,2,81.5
1,0,2,4,4,1,1,4,88.2
2,1,3,1,2,2,4,1,85.06
1,5,1,3,2,4,1,1,68.8
0,1,5,3,2,5,2,1,48.02
2,2,3,1,0,5,2,2,57.3
1,2,3,3,3,3,1,4,73.9
1,1,3,3,2,2,0,2,65.93
3,1,2,1,2,1,1,1,72.85
2,3,4,2,3,3,1,5,82.05
0,3,4,0,1,0,1,0,89.93
0,2,3,1,1,1,2,1,86.63
1,2,3,2,0,0,1,1,91.65
2,2,4,2,1,0,2,3,89.3
0,3,1,4,2,1,1,4,95.99
3,6,1,2,0,1,1,1,95.78
1,10,0,3,4,1,0,2,93.77
2,6,0,3,0,3,1,2,95.25
0,4,1,2,4,3,1,2,96.09
2,0,2,1,0,1,1,3,95
1,0,1,2,1,1,0,2,95.9
2,0,0,1,2,2,0,1,95.85
0,0,0,1,1,1,0,2,96.65
1,0,1,2,2,2,0,2,96.1
3,1,1,1,1,2,1,1,97.7
1,0,1,0,2,2,0,3,99.15
2,0,0,0,4,2,0,5,98
4,0,0,0,1,1,0,1,98.1
1,1,1,0,3,1,2,2,97.75
4,0,0,0,4,1,0,7,92.2
2,1,2,0,4,0,1,0,84.45
3,1,3,1,3,0,0,4,93.5
5,1,4,2,3,1,1,5,74.44
2,0,3,3,4,0,1,2,80.91
3,1,5,0,2,1,2,8,91
3,1,6,1,4,1,1,3,90.05
5,0,5,0,2,1,2,5,95.69
7,0,5,1,7,0,1,12,95.84
9,0,5,3,5,0,1,8,96.41
4,2,3,3,5,2,3,7,91.91
8,1,1,3,4,0,4,5,92.81
6,2,1,2,4,1,2,8,91.68
4,3,2,4,1,1,1,5,97.5
2,2,0,4,3,0,0,2,94.84
4,3,0,1,2,1,1,5,92.26
3,2,2,3,5,3,2,3,95.74
3,2,0,3,8,1,1,5,98.15
1,2,0,2,2,2,2,5,98.6
4,2,0,2,2,1,1,3,97.25
4,1,2,3,4,1,1,5,97.35
5,3,1,2,5,0,3,1,98.8
1,1,1,2,2,1,1,4,97.05
2,1,2,5,3,4,3,1,99
2,1,1,3,3,1,1,1,98.8
3,3,1,2,2,1,1,5,97.54
2,4,1,3,1,1,0,5,98.55
2,1,1,1,3,1,0,5,98.09
5,3,0,2,2,1,1,6,97.4
5,3,0,1,5,1,0,4,97.79
5,4,1,1,5,1,1,5,96.74
6,3,2,0,4,1,3,5,91.07
3,1,3,0,3,2,4,5,93.52
5,1,0,0,6,2,1,5,95.27
8,5,2,0,4,2,2,9,93.4
4,3,2,0,5,2,1,5,93.84
6,1,2,0,0,3,1,4,86.49
3,5,2,0,8,1,0,6,82.98
5,5,2,0,6,4,2,6,69.82
7,2,3,0,5,1,0,4,82.57
2,3,4,0,7,2,1,6,92.91
3,2,1,0,3,2,2,5,87.02
1,1,6,0,1,1,0,2,95.67
4,1,2,0,0,0,0,4,87.18
3,0,5,1,0,0,0,2,87.08
2,1,2,0,0,1,2,1,86.3
