,V1,V2,V3
84,2019-12-13 21:22:41  ,GET,openmrs/ws/rest/v1/person/dd553e53-1691-11df-97a5-7038c432aabf
85,2019-12-13 21:22:42  ,POST,openmrs/ws/rest/v1/person
86,2019-12-13 21:22:42  ,DELETE,openmrs/ws/rest/v1/person/f38d89cf-2a7d-4f4c-839d-189c887d345c?purge=true
87,2019-12-13 21:22:42  ,GET,openmrs/ws/rest/v1/concept?q=%2B
88,2019-12-13 21:22:42  ,DELETE,openmrs/ws/rest/v1/person/9f0bc9ec-8eb3-4f14-ba53-c055d50cb767?purge=true
89,2019-12-13 21:22:43  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
90,2019-12-13 21:22:43  ,GET,openmrs/ws/rest/v1/person?q=Adicha
91,2019-12-13 21:22:43  ,GET,openmrs/ws/rest/v1/person?q=Adison
92,2019-12-13 21:22:43  ,GET,openmrs/ws/rest/v1/person/dd5543ac-1691-11df-97a5-7038c432aabf
93,2019-12-13 21:22:44  ,POST,openmrs/ws/rest/v1/person
94,2019-12-13 21:22:44  ,DELETE,openmrs/ws/rest/v1/person/9b3e1fe2-c55f-43e0-9233-6f3b94611244?purge=true
95,2019-12-13 21:22:44  ,GET,openmrs/ws/rest/v1/person/dd55401d-1691-11df-97a5-7038c432aabf
96,2019-12-13 21:22:45  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTRETURN
97,2019-12-13 21:22:45  ,GET,openmrs/ws/rest/v1/person/dd55352f-1691-11df-97a5-7038c432aabf
98,2019-12-13 21:22:45  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
99,2019-12-13 21:22:45  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
100,2019-12-13 21:22:45  ,GET,openmrs/ws/rest/v1/concept?q=30-60+MIN
101,2019-12-13 21:22:45  ,POST,openmrs/ws/rest/v1/person
102,2019-12-13 21:22:45  ,GET,openmrs/ws/rest/v1/person?q=Adicha
103,2019-12-13 21:22:45  ,POST,openmrs/ws/rest/v1/person
104,2019-12-13 21:22:46  ,POST,openmrs/ws/rest/v1/person
105,2019-12-13 21:22:46  ,GET,openmrs/ws/rest/v1/concept?q=Yes
106,2019-12-13 21:22:46  ,POST,openmrs/ws/rest/v1/person/dd5536fd-1691-11df-97a5-7038c432aabf
107,2019-12-13 21:22:47  ,DELETE,openmrs/ws/rest/v1/person/cd881fb3-c950-40f9-b70f-7f83fb7b40f2?purge=true
108,2019-12-13 21:22:47  ,GET,openmrs/ws/rest/v1/encounter?patient=dd553c85-1691-11df-97a5-7038c432aabf
109,2019-12-13 21:22:48  ,GET,openmrs/ws/rest/v1/encounter?patient=dd554766-1691-11df-97a5-7038c432aabf
110,2019-12-13 21:22:48  ,POST,openmrs/ws/rest/v1/person/dd55352f-1691-11df-97a5-7038c432aabf
111,2019-12-13 21:22:48  ,DELETE,openmrs/ws/rest/v1/person/513b241c-40ec-4779-b331-59ae42848f51?purge=true
112,2019-12-13 21:22:48  ,GET,openmrs/ws/rest/v1/concept?q=Yes
113,2019-12-13 21:22:48  ,DELETE,openmrs/ws/rest/v1/person/603606d5-5ab4-4aea-be37-40cf437cb528?purge=true
114,2019-12-13 21:22:48  ,DELETE,openmrs/ws/rest/v1/person/95dc689d-92c6-436e-a8f0-3aa7636f5ea6?purge=true
115,2019-12-13 21:22:48  ,GET,openmrs/ws/rest/v1/person/dd553e53-1691-11df-97a5-7038c432aabf
116,2019-12-13 21:22:49  ,GET,openmrs/ws/rest/v1/concept?q=%28-%29
117,2019-12-13 21:22:49  ,GET,openmrs/ws/rest/v1/concept?q=30+TO+60+MINUTES
118,2019-12-13 21:22:49  ,GET,openmrs/ws/rest/v1/person/dd5543ac-1691-11df-97a5-7038c432aabf
119,2019-12-13 21:22:49  ,GET,openmrs/ws/rest/v1/person/dd553c85-1691-11df-97a5-7038c432aabf
120,2019-12-13 21:22:50  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
121,2019-12-13 21:22:50  ,POST,openmrs/ws/rest/v1/person
122,2019-12-13 21:22:50  ,POST,openmrs/ws/rest/v1/person
123,2019-12-13 21:22:51  ,GET,openmrs/ws/rest/v1/person?q=Abdulahi
124,2019-12-13 21:22:51  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
125,2019-12-13 21:22:51  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
126,2019-12-13 21:22:51  ,POST,openmrs/ws/rest/v1/person
127,2019-12-13 21:22:51  ,POST,openmrs/ws/rest/v1/person/dd554766-1691-11df-97a5-7038c432aabf
128,2019-12-13 21:22:52  ,POST,openmrs/ws/rest/v1/person
129,2019-12-13 21:22:52  ,DELETE,openmrs/ws/rest/v1/person/407e2d54-761c-488e-8a3c-fac01dd865b3?purge=true
130,2019-12-13 21:22:52  ,DELETE,openmrs/ws/rest/v1/person/9ae35600-51f0-4329-b53e-458cec9e0738?purge=true
131,2019-12-13 21:22:52  ,DELETE,openmrs/ws/rest/v1/person/bc6119aa-4f9e-43ad-b1a1-e12bcdfa8e81?purge=true
132,2019-12-13 21:22:52  ,GET,openmrs/ws/rest/v1/obs?patient=dd553e53-1691-11df-97a5-7038c432aabf
133,2019-12-13 21:22:52  ,POST,openmrs/ws/rest/v1/person/dd55571f-1691-11df-97a5-7038c432aabf
134,2019-12-13 21:22:53  ,GET,openmrs/ws/rest/v1/person/dd55401d-1691-11df-97a5-7038c432aabf
135,2019-12-13 21:22:53  ,GET,openmrs/ws/rest/v1/person/dd553c85-1691-11df-97a5-7038c432aabf
136,2019-12-13 21:22:55  ,GET,openmrs/ws/rest/v1/encounter?patient=dd55352f-1691-11df-97a5-7038c432aabf
137,2019-12-13 21:22:55  ,GET,openmrs/ws/rest/v1/person/dd55352f-1691-11df-97a5-7038c432aabf
138,2019-12-13 21:22:55  ,DELETE,openmrs/ws/rest/v1/person/65f92342-83d7-48d9-8297-9b3d94b29771?purge=true
139,2019-12-13 21:22:57  ,POST,openmrs/ws/rest/v1/person
140,2019-12-13 21:22:57  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
141,2019-12-13 21:22:57  ,POST,openmrs/ws/rest/v1/person
142,2019-12-13 21:22:57  ,GET,openmrs/ws/rest/v1/person/dd55457a-1691-11df-97a5-7038c432aabf
143,2019-12-13 21:22:57  ,GET,openmrs/ws/rest/v1/person?q=Abedenego
144,2019-12-13 21:22:58  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSRETURN
145,2019-12-13 21:22:58  ,GET,openmrs/ws/rest/v1/encountertype?q=ADULTINITIAL
146,2019-12-13 21:22:58  ,POST,openmrs/ws/rest/v1/person/dd55352f-1691-11df-97a5-7038c432aabf
147,2019-12-13 21:22:59  ,GET,openmrs/ws/rest/v1/encountertype?q=PEDSINITIAL
148,2019-12-13 21:22:59  ,POST,openmrs/ws/rest/v1/person
149,2019-12-13 21:22:59  ,DELETE,openmrs/ws/rest/v1/person/101f5360-c393-46e1-a723-fc07d6a34507?purge=true
150,2019-12-13 21:22:59  ,GET,openmrs/ws/rest/v1/concept?q=Yes
151,2019-12-13 21:22:59  ,GET,openmrs/ws/rest/v1/person/dd5543ac-1691-11df-97a5-7038c432aabf
152,2019-12-13 21:22:59  ,POST,openmrs/ws/rest/v1/person/dd553e53-1691-11df-97a5-7038c432aabf
153,2019-12-13 21:23:00  ,GET,openmrs/ws/rest/v1/concept?q=%2B
